run_dir,output_path,best_val_loss,best_epoch,n_params,loss_recon,loss_kl_lat,loss_kl_mix,loss_smooth,loss_ent,loss_align,loss_l1,MSE,RMSE,MAE,Pearson,Spearman,CCC,Cosine,JSD,Hellinger,EMD
W.2025-11-05_115941.1f2bdc1f,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_115941.1f2bdc1f,0.11794352531433105,497,63172,0.05,0.05,0.0,0.2,-0.05,0.5,0.0,0.19791904406417876,0.44488093245741467,0.3078273539313432,0.18263295343909067,0.04403094758493558,0.12487651906447385,0.48073939601628507,0.335515058882193,0.6170281726317585,0.11407669861015983
W.2025-11-05_120203.5a02e2b0,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_120203.5a02e2b0,0.06433974951505661,314,63172,0.05,0.05,2.0,0.2,0.0,0.5,0.0001,0.13855040815671293,0.37222359967728125,0.31074175897207695,-0.00955923629200072,-0.0021149778914471592,-0.0007881732339545716,0.578692179858315,0.30013016608074095,0.6158035549989853,0.28377491219957923
W.2025-11-05_120327.535cacaa,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_120327.535cacaa,0.21493570506572723,500,63172,0.05,0.05,2.0,0.05,-0.1,0.5,0.0,0.13512593151931573,0.3675947925628378,0.3043727617769232,0.057139917073737216,0.008220698203965275,0.03067729008832646,0.5962802194366446,0.29393707304151734,0.6072653077884751,0.2749135629290739
W.2025-11-05_120439.ef3c4f2e,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_120439.ef3c4f2e,0.1256735771894455,365,63172,0.1,0.001,0.0,0.1,-0.05,0.0,0.0,0.193372400621836,0.43974128828418646,0.266585850547833,0.2983066704030169,0.05675551281963115,0.34849084458795887,0.5329481645099444,0.32624660283742407,0.5680552591096228,0.09294093782296783
W.2025-11-05_120459.cb12784b,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_120459.cb12784b,0.1339080035686493,226,63172,0.05,0.05,2.0,0.0,0.0,0.0,0.001,0.10732299822455676,0.3276018898366686,0.272213188046905,0.4344812107137154,0.37790668863977717,0.28120470453707225,0.6886660690005163,0.24720714667154303,0.5605943175760986,0.23584256442775997
W.2025-11-05_120514.df1b18a0,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_120514.df1b18a0,0.2513149082660675,286,63172,0.1,0.05,0.5,0.1,-0.1,0.0,0.0,0.13345706237852506,0.3653177553562447,0.30052653410216795,0.1211087295878615,0.11651440531938369,0.09143578094619562,0.5921144901000258,0.28779170478619365,0.6000136335752168,0.24270675651094328
W.2025-11-05_120558.df5e5f89,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_120558.df5e5f89,0.22408494353294373,204,63172,0.1,0.01,2.0,0.1,-0.05,0.1,0.0001,0.03094069524320516,0.1758996738007355,0.1321013421874981,0.8875736217037173,0.7586569933329816,0.8438453860203686,0.9269197446712029,0.09848538875756689,0.3465591029287726,0.12211577848320473
W.2025-11-05_120633.acd089ed,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_120633.acd089ed,0.13678482174873352,70,63172,0.1,0.001,1.0,0.0,0.0,0.0,0.0001,0.04621687349051337,0.2149811003100351,0.17128921377017453,0.8052083890116652,0.702836086500287,0.7465010292843497,0.8774415193821008,0.1335179920247122,0.4115905615611093,0.15485998208810833
W.2025-11-05_120653.1e60a575,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_120653.1e60a575,0.13356554508209229,335,63172,0.05,0.05,0.5,0.05,-0.05,0.1,0.0,0.12912798090693436,0.35934381990919834,0.30066040765062146,0.2688794166284642,0.21496927980671204,0.07487187209477379,0.6157183635968427,0.28556277848957323,0.6023562422734015,0.2733035031328254
W.2025-11-05_120719.42aef966,/home/ayesha/SP-VAE-GCN/results/11-5-gridrun/W.2025-11-05_120719.42aef966,0.08725181221961975,192,63172,0.05,0.001,2.0,0.05,0.0,0.5,0.0,0.0331175125351873,0.1819821764217235,0.14408316883982358,0.8564224326615786,0.7374708410088531,0.8345594375805206,0.9179213550531438,0.10376533996244584,0.3630210295860556,0.12911771621268336
