run_dir,output_path,best_val_loss,best_epoch,n_params,loss_recon,loss_kl_lat,loss_kl_mix,loss_smooth,loss_ent,loss_align,loss_l1,MSE,RMSE,MAE,Pearson,Spearman,CCC,Cosine,JSD,Hellinger,EMD
W.2025-11-02_001307.48e8a9e5,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_001307.48e8a9e5,0.476664811,500,60503,0.2,0.001,0.5,0.2,-0.1,0,0,0.057774203,0.240362649,0.078853057,0.077045465,0.00806341,0.067499406,0.137717826,0.594262334,0.892827144,0.032715728
W.2025-11-02_021509.fb77dc49,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_021509.fb77dc49,0.54241842,135,60503,0.1,0.01,0,0,-0.1,0.1,0,0.057812773,0.240442868,0.082139635,0.019978723,0.047126563,0.008457676,0.08697748,0.622490416,0.913077892,0.032683456
W.2025-11-01_212651.27ac2555,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_212651.27ac2555,0.398561418,148,60503,0.05,0.01,0.5,0.1,-0.1,0.1,0.001,0.057865711,0.240552927,0.082023865,0.020125033,0.068755384,0.008289604,0.087069953,0.620810276,0.911646539,0.032376564
W.2025-11-02_183254.311d7545,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_183254.311d7545,0.140888423,500,60503,0.05,0.05,0.5,0,-0.05,0,0.0001,0.057929317,0.2406851,0.084604455,-0.039108688,-0.128783575,-0.037605097,0.036438454,0.651213001,0.942675409,0.031476326
W.2025-11-01_220208.a8b5d9d9,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_220208.a8b5d9d9,0.603095174,179,60503,0.1,0.01,0,0.2,-0.1,0.5,0.0001,0.057950238,0.240728558,0.082480166,-0.004981228,-0.035424222,-0.003615045,0.066015235,0.634007264,0.925955071,0.032127768
W.2025-11-02_131922.4989b92a,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_131922.4989b92a,0.189252988,500,60503,0.05,0.01,0,0.1,-0.1,0,0.0001,0.057970743,0.240771142,0.080962198,0.029944719,0.00725479,0.029361723,0.096842468,0.616621767,0.909605888,0.032969145
W.2025-11-02_072259.3a9914c1,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_072259.3a9914c1,1.012463808,213,60503,0.1,0.05,0,0.1,-0.1,0.5,0.001,0.058133714,0.24110934,0.082729008,-0.0044917,-0.034956135,-0.002288568,0.066464032,0.636000039,0.926851485,0.032816169
W.2025-11-01_175325.f8231e6d,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_175325.f8231e6d,0.785756528,124,60503,0.1,0.01,2,0,-0.1,0.5,0,0.058236354,0.241322096,0.080968767,0.031162918,0.053624474,0.03113531,0.09723137,0.615400122,0.905505079,0.033016855
W.2025-11-02_074314.02b5a65a,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-02_074314.02b5a65a,0.351721525,143,60503,0.05,0.01,0,0,-0.1,0.1,0.0001,0.058279622,0.241411728,0.081295187,0.042439091,0.037030936,0.023593418,0.105811766,0.606044378,0.898022715,0.032906653
W.2025-11-01_234518.e669be0a,/home/ayesha/SP-VAE-GCN/results/sweeps/losses/W.2025-11-01_234518.e669be0a,0.564151108,121,60503,0.2,0.001,0,0.05,-0.05,0.5,0.0001,0.058280104,0.241412726,0.083988642,-0.0379101,-0.015295144,-0.02613413,0.037337531,0.654118798,0.947871837,0.030729413
