,Choroid Plexus,Neural Stem,Neuroblast,Ependymal
1700022a21rik,2.5196729383927248,0.15909109620032114,0.028065938440751226,0.044480617423967125
1700025g04rik,0.2950036407117461,1.2462149491044174,0.04291373245845297,0.3010299956639812
4933401b06rik,0.9059799337371054,0.1513322419067012,0.11359016475286807,0.37106085089329305
5830417i10rik,0.3079941629600204,0.4043187485752374,0.2100114772464179,0.3356442182983486
9330102e08rik,0.0974723990293836,0.9878448057842618,0.1966183906193563,0.35448747503491224
9430018g01rik,3.355122918279366,0.17447627779745659,0.004363107775206625,0.08528200658747402
9430083a17rik,0.7123607528721367,0.3194623520522664,0.16615600572802752,0.1040982417922641
Aanat,2.937173102261901,0.05996864880378366,0.0536829913982314,0.030176080257457973
Aasdh,2.2603608540163322,0.4020763542698478,0.011475650698926238,0.0376221215859652
Aatf,2.9127531808913067,0.0636885992672133,0.05082403728286638,0.032510729567143536
Abat,8.186615527867751,0.20742419247103805,2.594064331217757e-06,0.030226832059694776
Abca16,3.584878974154848,0.14408188217275794,0.002533118732041263,0.14674680017633251
Abca17,0.3603586545090585,1.4341264542615693,0.05868223101012296,0.0707705790555606
Abca4,23.38011936693851,0.0001488635270108471,7.450463164561235e-09,0.004490530361576493
Abca8a,0.4370303183390892,0.48139496631423867,0.21905382655830183,0.09098822388717516
Abcb5,0.7991454966260667,0.21347890775517325,0.2152368658198859,0.09098955697747692
Abcb7,0.6305529187938138,0.4224447490849508,0.0625369070589278,0.422114611278723
Abcc1,12.078179237385163,0.004516671599366522,4.676794825494078e-05,0.00800464088231724
Abcc4,9.516137964943466,0.01864341192592427,8.189600640074602e-07,0.480655085410354
Abcc6,0.53443108845765,0.36666717673530225,0.2384346687990159,0.08005423350013702
Abcc9,0.8329627135514721,0.2843128574173754,0.04087466959212589,0.6591253775662982
Abcg1,3.0023292879482533,0.2178271683440765,0.002262334374148919,0.21322406008716244
Abhd2,56.18766914232975,1.1606660200308724e-08,-0.0,0.0002328856198880675
Abhd6,5.224261950579331,0.23992776814799902,0.00019820160877736574,0.04074860829664442
Abl1,2.51431688784325,0.04474765414895086,0.10059735197318727,0.036758264648911215
Abl2,3.0683245094228764,0.09045095657026284,0.0081880989623326,0.2100469176531585
Ablim2,0.7704032622849196,0.7003443745455719,0.016541452423140264,0.4334855425463747
Abtb1,2.4060497710732056,0.11012142225488361,0.004550156585493375,0.7127015423983973
Acacb,13.402530997075388,0.00023812150302083475,0.00010913950219041306,0.019139623826074075
Acad10,1.6078256361341692,0.07330487927281998,0.16776841464929965,0.0627918268584881
Acad11,4.754940408281899,0.023990264021619384,0.017984520856375162,0.02172869464576392
Acad9,0.6310617185967936,1.3628806652247274,0.0015046853046198553,0.9075526374636451
Acap2,0.4641974503297154,0.271976495866146,0.29205188878948973,0.14085417992209537
Acat1,3.403653739114103,0.07229169104625087,0.005866096755099266,0.23308894805775784
Acbd5,2.0426274153596653,0.13198830918007357,0.013521581986112917,0.43387105424828154
Ace,33.81105902858805,2.1310144533473464e-06,3.4638642598607887e-13,0.027580383190294683
Acer3,1.2820094310321835,0.4309853858455661,0.0043710767322587985,0.8152838496869312
Ackr3,1.3285987351948092,0.044568287205209216,0.179086113758543,0.24595768336738516
Acot6,2.4605154410375856,0.011223224356484552,0.11034056343935496,0.199968574977751
